Elevation,YEAR,Treatment,aspect,slope,InitialHabitat,BlockNo,Shannon,Richness
59.639,2017,Control,200,5,Rangeland,13,2.2419036877766096,25
60.482,2017,Mowing,220,4,Rangeland,13,2.0625102749113466,20
60.455,2017,PermanentExclosure,186,4,Rangeland,13,2.3681712141382416,24
61.298,2017,SummerExclosure,210,6,Rangeland,13,2.6887708743746668,32
61.198,2017,WinterExclosure,255,2,Rangeland,13,2.757110382453273,34
49.532,2017,Control,138,20,Forest,15,1.8476204375193146,14
50.521,2017,Mowing,152,16,Forest,15,2.0273378087831,13
52.628,2017,PermanentExclosure,158,10,Forest,15,1.8868736947885287,11
53.472,2017,SummerExclosure,166,10,Forest,15,2.4909519202709562,22
51.721,2017,WinterExclosure,146,18,Forest,15,2.1792310111252404,13
41.467,2017,Control,326,12,Rangeland,28,1.186967517444308,16
36.756,2017,Mowing,356,18,Rangeland,28,1.8496325542175531,14
39.91,2017,PermanentExclosure,332,16,Rangeland,28,1.783710752345297,10
39.392,2017,SummerExclosure,344,16,Rangeland,28,2.1300167199829434,17
36.594,2017,WinterExclosure,346,14,Rangeland,28,2.3229472500763393,20
52.057,2017,Control,150,8,Rangeland,36,2.603902316381949,27
55.495,2017,Mowing,151,4,Rangeland,36,2.6275460542823157,37
55.861,2017,PermanentExclosure,151,11,Rangeland,36,2.4386306939826943,31
54.309,2017,SummerExclosure,240,3,Rangeland,36,2.688108495577349,35
54.351,2017,WinterExclosure,192,10,Rangeland,36,2.943750538916422,32
61.056,2017,Control,126,1,Rangeland,37,2.536798555024596,34
60.28,2017,Mowing,72,2,Rangeland,37,2.2756709987759436,25
60.571,2017,PermanentExclosure,63,5,Rangeland,37,2.2298719179023574,20
60.88,2017,SummerExclosure,65,1,Rangeland,37,2.7432833536226835,40
60.081,2017,WinterExclosure,114,3,Rangeland,37,2.7214134236557386,26
38.707,2017,Control,110,8,Rangeland,42,2.4049512819164787,25
40.298,2017,Mowing,95,10,Rangeland,42,1.8779140703185568,18
40.645,2017,PermanentExclosure,180,8,Rangeland,42,2.278429315037706,23
41.236,2017,SummerExclosure,80,10,Rangeland,42,2.5085196226855797,28
39.658,2017,WinterExclosure,103,11,Rangeland,42,2.312516239336162,22
25.855,2017,Control,302,4,Forest,46,1.6366815506073635,8
32.852,2017,Mowing,12,10,Forest,46,1.5712961429693022,10
30.79,2017,PermanentExclosure,164,8,Forest,46,1.327793946346877,7
29.297,2017,SummerExclosure,298,10,Forest,46,1.3815510557964275,8
27.164,2017,WinterExclosure,134,8,Forest,46,0.8922095960967766,4
26.7344,2017,Control,146,8,Forest,47,1.5914925960688768,9
25.8817,2017,Mowing,32,12,Forest,47,1.2689013125952084,13
27.277,2017,PermanentExclosure,212,6,Forest,47,1.7968385936135387,15
28.614,2017,SummerExclosure,338,6,Forest,47,1.1428095723473561,14
25.165,2017,WinterExclosure,182,12,Forest,47,0.7587088585926048,6
63.331,2017,Control,152,16,Rangeland,5,2.1487220944920287,23
60.557,2017,Mowing,168,10,Rangeland,5,2.570149847222399,22
62.715,2017,PermanentExclosure,160,21,Rangeland,5,2.264282988603904,22
60.971,2017,SummerExclosure,144,10,Rangeland,5,1.9517332556011993,12
62.202,2017,WinterExclosure,164,12,Rangeland,5,2.1464453282930402,19
72.395,2017,Control,124,4,Rangeland,54,2.2020785296214096,20
73.812,2017,Mowing,99,2,Rangeland,54,2.63266811785005,28
74.567,2017,PermanentExclosure,11,1.5,Rangeland,54,2.2752687077002394,22
73.668,2017,SummerExclosure,90,3,Rangeland,54,1.9891807544514966,15
74.477,2017,WinterExclosure,110,4,Rangeland,54,2.403562263563914,26
70.733,2017,Control,102,4,Rangeland,55,2.1180474556697435,15
68.901,2017,Mowing,60,4,Rangeland,55,2.422947349761468,26
68.974,2017,PermanentExclosure,60,5,Rangeland,55,2.4979819784911252,35
69.772,2017,SummerExclosure,39,3,Rangeland,55,2.0036262162022336,15
69.914,2017,WinterExclosure,110,4,Rangeland,55,1.5173895325324604,16
62.814,2017,Control,180,1,Rangeland,6,1.8722955369551564,18
63.011,2017,Mowing,150,2,Rangeland,6,1.758574029993345,16
62.708,2017,PermanentExclosure,129,2,Rangeland,6,1.799706087499358,15
