package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
assertthat,0.2.1,0.2.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/assertthat,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/assertthat,FALSE,FALSE,2019-03-21,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
backports,1.2.1,1.2.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/backports,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/backports,FALSE,FALSE,2020-12-09,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
bayestestR,0.8.2,0.8.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/bayestestR,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/bayestestR,FALSE,FALSE,2021-01-26,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
bookdown,0.21,0.21,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/bookdown,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/bookdown,FALSE,FALSE,2020-10-13,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
boot,1.3.27,1.3-27,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/boot,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/boot,FALSE,FALSE,2021-02-12,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
broom,0.7.5,0.7.5,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/broom,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/broom,FALSE,FALSE,2021-02-19,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
broom.mixed,0.2.6,0.2.6,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/broom.mixed,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/broom.mixed,FALSE,FALSE,2020-05-17,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
broomExtra,4.2.1,4.2.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/broomExtra,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/broomExtra,TRUE,FALSE,2021-02-21,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
cachem,1.0.4,1.0.4,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/cachem,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/cachem,FALSE,FALSE,2021-02-13,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
callr,3.5.1,3.5.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/callr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/callr,FALSE,FALSE,2020-10-13,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
cellranger,1.1.0,1.1.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/cellranger,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/cellranger,FALSE,FALSE,2016-07-27,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
cli,2.3.1,2.3.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/cli,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/cli,FALSE,FALSE,2021-02-23,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
coda,0.19.4,0.19-4,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/coda,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/coda,FALSE,FALSE,2020-09-30,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
codetools,0.2.18,0.2-18,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/codetools,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/codetools,FALSE,FALSE,2020-11-04,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
colorspace,2.0.0,2.0-0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/colorspace,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/colorspace,FALSE,FALSE,2020-11-11,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
crayon,1.4.1,1.4.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/crayon,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/crayon,FALSE,FALSE,2021-02-08,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
DBI,1.1.1,1.1.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/DBI,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/DBI,FALSE,FALSE,2021-01-15,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
dbplyr,2.1.0,2.1.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/dbplyr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/dbplyr,FALSE,FALSE,2021-02-03,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
desc,1.3.0,1.3.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/desc,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/desc,FALSE,FALSE,2021-03-05,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
